algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.1778,9523,8
MergeSort,random,10000,2.0212,127212,11
MergeSort,random,100000,8.8459,1639343,14
MergeSort,random,1000000,96.2966,19889337,18
MergeSort,sorted,1000,0.0119,4236,8
MergeSort,sorted,10000,0.1495,59248,11
MergeSort,sorted,100000,1.7162,744016,14
MergeSort,sorted,1000000,22.9788,9071040,18
MergeSort,duplicates,1000,0.0259,9036,8
MergeSort,duplicates,10000,0.3449,121712,11
MergeSort,duplicates,100000,3.8296,1563025,14
MergeSort,duplicates,1000000,47.3814,18922524,18
QuickSort,random,1000,0.1967,20352,6
QuickSort,random,10000,0.9078,270855,8
QuickSort,random,100000,8.9912,3353726,11
QuickSort,random,1000000,146.9085,40748795,13
QuickSort,sorted,1000,0.0710,19771,6
QuickSort,sorted,10000,0.9502,267063,8
QuickSort,sorted,100000,6.0913,3426911,10
QuickSort,sorted,1000000,71.6329,41202583,13
QuickSort,duplicates,1000,0.0140,5473,2
QuickSort,duplicates,10000,0.1187,53863,2
QuickSort,duplicates,100000,1.1066,509587,2
QuickSort,duplicates,1000000,11.6664,5302327,3
QuickSelect,random,1000,0.0200,3713,13
QuickSelect,random,10000,0.1065,41759,15
QuickSelect,random,100000,1.3484,506866,22
QuickSelect,random,1000000,16.6202,4554485,28
QuickSelect,sorted,1000,0.0042,5898,13
QuickSelect,sorted,10000,0.0324,50534,19
QuickSelect,sorted,100000,0.2619,487920,20
QuickSelect,sorted,1000000,2.2957,4253379,27
QuickSelect,duplicates,1000,0.0111,4618,6
QuickSelect,duplicates,10000,0.0952,39086,4
QuickSelect,duplicates,100000,0.9971,418389,5
QuickSelect,duplicates,1000000,10.2584,3501688,4
